day,stock_eod,actual_demand,stockout,reorder_placed,reorder_qty,ordering_cost,holding_cost
0,255.0,45.0,False,False,0,0.0,1.64
1,209.0,46.0,False,False,0,0.0,3.04
2,166.0,43.0,False,False,0,0.0,4.19
3,125.0,41.0,False,False,0,0.0,5.1
4,75.0,50.0,False,False,0,0.0,5.78
5,20.0,55.0,False,True,150,50.0,6.19
6,0.0,34.0,True,True,150,100.0,6.3
7,0.0,42.0,True,True,150,150.0,6.3
8,0.0,46.0,True,True,150,200.0,6.3
9,0.0,44.0,True,True,150,250.0,6.3
10,0.0,50.0,True,True,150,300.0,6.3
11,0.0,53.0,True,True,150,350.0,6.3
12,102.0,48.0,False,False,0,350.0,7.12
13,214.0,38.0,False,False,0,350.0,8.5
14,341.0,23.0,False,False,0,350.0,10.5
15,461.0,30.0,False,False,0,350.0,13.19
16,564.0,47.0,False,False,0,350.0,16.54
17,669.0,45.0,False,False,0,350.0,20.45
18,760.0,59.0,False,False,0,350.0,24.94
19,697.0,63.0,False,False,0,350.0,29.1
20,660.0,37.0,False,False,0,350.0,32.92
21,614.0,46.0,False,False,0,350.0,36.54
22,573.0,41.0,False,False,0,350.0,39.9
23,534.0,39.0,False,False,0,350.0,43.04
24,487.0,47.0,False,False,0,350.0,45.97
25,427.0,60.0,False,False,0,350.0,48.64
26,358.0,69.0,False,False,0,350.0,50.98
27,324.0,34.0,False,False,0,350.0,52.94
28,291.0,33.0,False,False,0,350.0,54.71
29,239.0,52.0,False,False,0,350.0,56.31
30,181.0,58.0,False,False,0,350.0,57.62
31,137.0,44.0,False,False,0,350.0,58.61
32,71.0,66.0,False,False,0,350.0,59.36
33,0.0,73.0,True,True,150,400.0,59.75
34,0.0,45.0,True,True,150,450.0,59.75
35,0.0,58.0,True,True,150,500.0,59.75
36,0.0,34.0,True,True,150,550.0,59.75
37,0.0,61.0,True,True,150,600.0,59.75
38,0.0,51.0,True,True,150,650.0,59.75
39,0.0,57.0,True,True,150,700.0,59.75
40,80.0,70.0,False,False,0,700.0,60.57
41,189.0,41.0,False,False,0,700.0,61.83
42,296.0,43.0,False,False,0,700.0,63.69
43,396.0,50.0,False,False,0,700.0,66.13
44,508.0,38.0,False,False,0,700.0,69.12
45,610.0,48.0,False,False,0,700.0,72.73
46,697.0,63.0,False,False,0,700.0,76.89
47,645.0,52.0,False,False,0,700.0,80.71
48,606.0,39.0,False,False,0,700.0,84.25
49,556.0,50.0,False,False,0,700.0,87.57
50,511.0,45.0,False,False,0,700.0,90.61
51,477.0,34.0,False,False,0,700.0,93.41
52,406.0,71.0,False,False,0,700.0,96.03
53,359.0,47.0,False,False,0,700.0,98.25
54,302.0,57.0,False,False,0,700.0,100.22
55,264.0,38.0,False,False,0,700.0,101.87
56,213.0,51.0,False,False,0,700.0,103.32
57,167.0,46.0,False,False,0,700.0,104.49
58,130.0,37.0,False,False,0,700.0,105.4
59,99.0,31.0,False,False,0,700.0,106.12
60,44.0,55.0,False,False,0,700.0,106.66
61,13.0,31.0,False,True,150,750.0,106.9
62,0.0,20.0,True,True,150,800.0,106.97
63,0.0,34.0,True,True,150,850.0,106.97
64,0.0,36.0,True,True,150,900.0,106.97
65,0.0,41.0,True,True,150,950.0,106.97
66,0.0,33.0,True,True,150,1000.0,106.97
67,0.0,37.0,True,True,150,1050.0,106.97
68,113.0,37.0,False,False,0,1050.0,107.79
69,237.0,26.0,False,False,0,1050.0,109.23
70,357.0,30.0,False,False,0,1050.0,111.35
71,486.0,21.0,False,False,0,1050.0,114.13
72,604.0,32.0,False,False,0,1050.0,117.62
73,710.0,44.0,False,False,0,1050.0,121.75
74,830.0,30.0,False,False,0,1050.0,126.46
75,792.0,38.0,False,False,0,1050.0,131.01
76,761.0,31.0,False,False,0,1050.0,135.35
77,727.0,34.0,False,False,0,1050.0,139.52
78,696.0,31.0,False,False,0,1050.0,143.5
79,670.0,26.0,False,False,0,1050.0,147.32
80,625.0,45.0,False,False,0,1050.0,150.99
81,599.0,26.0,False,False,0,1050.0,154.41
82,555.0,44.0,False,False,0,1050.0,157.69
83,527.0,28.0,False,False,0,1050.0,160.73
84,495.0,32.0,False,False,0,1050.0,163.62
85,463.0,32.0,False,False,0,1050.0,166.33
86,430.0,33.0,False,False,0,1050.0,168.87
87,391.0,39.0,False,False,0,1050.0,171.23
88,357.0,34.0,False,False,0,1050.0,173.37
89,318.0,39.0,False,False,0,1050.0,175.33
